author,edition_year,name,price,publisher,ratings
[美] 哈珀·李,译林出版社,杀死一只知更鸟,2012-9,高红梅,9.2
[美] 斯蒂芬·金,人民文学出版社,肖申克的救赎,2006-7,施寄青,9.1
大仲马,上海译文出版社,基督山伯爵,1991-12-1,周克希,9.0
钱穆,2001,中国历代政治得失,12.00元,生活·读书·新知三联书店,9.2
[美] 卡勒德·胡赛尼,上海人民出版社,追风筝的人,2006-5,李继宏,8.9
[英] 阿加莎·克里斯蒂,人民文学出版社,东方快车谋杀案,2006-5,陈尧光,9.0
[美] 黄仁宇,1997-5,万历十五年,18.00元,生活·读书·新知三联书店,8.9
[日] 东野圭吾,南海出版公司,嫌疑人X的献身,2008-9,刘子倩,8.9
杨显惠,2008-09,夹边沟记事,34.00元,花城出版社,9.2
[美] 彼得·海斯勒,上海译文出版社,寻路中国,2011-1,李雪顺,9.0
[英]毛姆,上海译文出版社,刀锋,2007-3,周煦良,9.0
[美] 彼得·海斯勒,上海译文出版社,江城,2012-1,李雪顺,9.0
鲁迅,1973年3月,呐喊,0.36元,人民文学出版社,8.9
金庸,1999-04,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,9.0
[美]乔治·R.R.马丁,重庆出版社,冰与火之歌,2013-10-1,谭光磊,9.5
[英] 奥斯丁,人民文学出版社,傲慢与偏见,1993-7,张玲,8.8
林海音 文,2003-7,城南旧事,16.00元,中国青年出版社,9.0
费孝通,2006-4,乡土中国,38.00,上海人民出版社,9.2
王小波,1999-3,黄金时代,19.00元,花城出版社,8.8
[德国]格林兄弟,人民文学出版社,格林童话全集,1994-11,魏以新,9.0
林达,1997-5,历史深处的忧虑,19.00元,生活·读书·新知三联书店,9.0
[意] 埃莱娜·费兰特,人民文学出版社,新名字的故事,2017-4,陈英,9.0
史铁生,2002-5,我与地坛,25.00元,春风文艺出版社,9.0
[英] 阿加莎・克里斯蒂,人民文学出版社,无人生还,2008-3,祁阿红,8.9
[意] 埃莱娜·费兰特,人民文学出版社,失踪的孩子,2018-6-1,陈英,9.1
[清] 曹雪芹 著,1996-12,红楼梦,59.70元,人民文学出版社,9.6
余华,2012-8-1,活着,20.00元,作家出版社,9.4
[哥伦比亚] 加西亚·马尔克斯,南海出版公司,百年孤独,2011-6,范晔,9.2
[英] 乔治·奥威尔,北京十月文艺出版社,1984,2010-4-1,刘绍铭,9.3
[美国] 玛格丽特·米切尔,译林出版社,飘,2000-9,李美华,9.3
刘慈欣,2012-1-1,三体全集,168.00元,重庆出版社,9.4
[明] 罗贯中,1998-05,三国演义（全二册）,39.50元,人民文学出版社,9.2
[日] 东野圭吾,南海出版公司,白夜行,2013-1-1,刘姿君,9.2
[英] 阿·柯南道尔,群众出版社,福尔摩斯探案全集（上中下）,1981-8,丁钟华 等,9.2
[英] 乔治·奥威尔,上海译文出版社,动物农场,2007-3,荣如德,9.2
[法] 圣埃克苏佩里,人民文学出版社,小王子,2003-8,马振聘,9.0
林奕含,2018-1,房思琪的初恋乐园,45.00元,北京联合出版公司,9.2
金庸,1994-5,天龙八部,96.0,生活.读书.新知三联书店,9.1
（丹麦）安徒生,人民文学出版社,安徒生童话故事集,1997-08,叶君健,9.2
三毛,2003-8,撒哈拉的故事,15.80元,哈尔滨出版社,9.2
J.K.罗琳 (J.K.Rowling),2008-12-1,哈利•波特,498.00元,人民文学出版社,9.7
钱锺书,1991-2,围城,19.00,人民文学出版社,8.9
[以色列] 尤瓦尔·赫拉利,中信出版社,人类简史,2014-11,林俊宏,9.1
王小波,1997-10,沉默的大多数,27.00元,中国青年出版社,9.1
[哥伦比亚] 加西亚·马尔克斯,南海出版公司,霍乱时期的爱情,2012-9-1,杨玲,9.0
路遥,2005-1,平凡的世界（全三部）,64.00元,人民文学出版社,9.0
[法] 阿尔贝·加缪,上海译文出版社,局外人,2010-8,柳鸣九,9.0
当年明月,2009-4,明朝那些事儿（1-9）,358.20元,中国海关出版社,9.1
金庸,1994-5,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9.0
[英] 毛姆,上海译文出版社,月亮和六便士,2006-8,傅惟慈,9.0
海明威,上海译文出版社,老人与海,1999-10,吴劳,8.4
[美] 安东尼·刘易斯,北京大学出版社,批评官员的尺度,2011-7,何帆,8.9
[白俄] S. A. 阿列克谢耶维奇,中信出版集团,二手时间,2016-1,吕宁思,8.8
任东来,2014-1,美国宪政历程,35.00元,中国法制出版社,9.1
[日] 三岛由纪夫,上海译文出版社,金阁寺,2009-1,唐月梅,8.7
[英] 阿瑟·克拉克,上海人民出版社,2001太空漫游,2007-11,郝明义,9.1
鲁迅,1973-12-01,故事新编,0.31 元,人民文学出版社,9.2
[英] 莎士比亚,人民文学出版社,哈姆莱特,2001-1,朱生豪,8.6
[美] 卡森·麦卡勒斯,上海三联书店,心是孤独的猎手,2005-8,陈笑黎,8.5
老舍,2000-3-1,骆驼祥子,12.00,人民文学出版社,8.4
[美] 尼尔·波兹曼,广西师范大学出版社,娱乐至死,2011-6,章艳,8.5
阿来,1998-3-1,尘埃落定,22.0,人民文学出版社,8.5
[法国] 儒尔·凡尔纳,译林出版社,海底两万里,2002-9,沈国华,8.5
严歌苓,2008-4,小姨多鹤,28.00元,作家出版社,8.6
(捷克) 赫拉巴尔,北京十月文艺出版社,过于喧嚣的孤独,2011-10,杨乐云,8.8
桐华,2010-04,那些回不去的年少时光·终场,23.80元,江苏文艺出版社,8.7
[美] 理查德·格里格,人民邮电出版社,心理学与生活,2003-10,王垒,8.8
（英）勃朗特,人民文学出版社,呼啸山庄,1999-01-01,张扬,8.4
[法] 米歇尔·福柯,生活·读书·新知三联书店,规训与惩罚,2003-1,刘北成,9.2
林达,2002-5,带一本书去巴黎,35.00元,生活·读书·新知三联书店,8.5
Elliot Aronson,华东师范大学出版社,社会性动物,2007-12,邢占军,9.1
[英] 阿道司·赫胥黎,重庆出版社,美丽新世界,2005-6,王波,8.6
古龙,2005-8,陆小凤传奇,94.00元,珠海出版社,8.7
[法]托克维尔,商务印书馆,论美国的民主,1989-1-1,董果良,9.2
[美] 斯科特·菲茨杰拉德,南海出版公司,了不起的盖茨比,2012-5,邓若虚,8.7
[美] 罗伯特·西奥迪尼,中国人民大学出版社,影响力,2006-5,陈叙,8.6
[美] 埃里克·霍弗,广西师范大学出版社,狂热分子,2011-6,梁永安,9.0
[德] 帕·聚斯金德,上海译文出版社,香水,2005-5,李清华,8.5
(葡)若泽·萨拉马戈,南海出版公司,失明症漫记,2014-2,范维信,9.0
三毛,2009-3,稻草人手记,18.00元,北京十月文艺出版社,8.9
[美] E.B.怀特,上海译文出版社,夏洛的网,2004-5,任溶溶,8.6
[美] 特德·姜,译林出版社,你一生的故事,2015-5,李克勤,8.6
孙通海 译注,中华书局,庄子,2007-04,方勇 译注,9.4
三浦紫苑,广西师范大学出版社,强风吹拂,2015-1-1,林佩瑾,9.0
[日] 岛田洋七,南海出版公司,佐贺的超级阿嬷,2007-3,陈宝莲,8.7
[日] 村上春树,上海译文出版社,挪威的森林,2007-7,林少华,8.5
[日]凑佳苗,哈尔滨出版社,告白,2010年6月,丁世佳,8.5
[日] 是枝裕和,北京联合出版公司,步履不停,2017-5,郑有杰,8.7
古龙,2005-8,欢乐英雄,28.00元,珠海出版社,8.8
(英)弗里德利希·奥古斯特·哈耶克,中国社会科学出版社,通往奴役之路,1997-08-01,王明毅,8.8
[奥] 斯蒂芬·茨威格,广西师范大学出版社,人类的群星闪耀时,2004-8,舒昌善,8.7
汤显祖,1963-4-1,牡丹亭,14.50,人民文学出版社,9.0
[德]赫尔曼·黑塞,上海译文出版社,荒原狼,2008-7,赵登荣,9.0
古龙,1991-12-01,多情剑客无情剑(上、中、下),49.8,海天出版社,8.7
纳训,2003-01,一千零一夜,22.0,人民文学出版社,8.7
[美] 丹尼尔·凯斯,广西师范大学出版社,献给阿尔吉侬的花束,2015-4,陈澄和,9.0
何兆武 口述,2006-8,上学记,19.80元,生活·读书·新知三联书店,8.9
金庸,1999-04,倚天屠龙记(共四册),47.00,三联书店,8.6
李碧华,1999-1,霸王别姬,10.20元,人民文学出版社,9.1
[美] 戴维·迈尔斯,人民邮电出版社,社会心理学,2006-1,张智勇,9.0
[巴西] 保罗·柯艾略,南海出版公司,牧羊少年奇幻之旅,2009-3-1,丁文林,8.6
老舍,2008-07,四世同堂,36.00元,北京十月文艺出版社,9.3
顾城,1998-12,顾城的诗,20.00,人民文学出版社,8.8
[阿根廷] 豪·路·博尔赫斯,上海译文出版社,小径分岔的花园,2015-7,王永年,8.9
刘震云,2009-3,一句顶一万句,29.80,长江文艺出版社,8.7
S.A.阿列克谢耶维奇,花城出版社/铁葫芦图书,我不知道该说什么，关于死亡还是爱情,2014-6-15,方祖芳,9.0
于娟,2011-5,此生未完成,26.00元,湖南科技出版社,8.9
宗萨蒋扬钦哲仁波切,中国友谊出版公司,正见,2007-1,姚仁喜,8.8
阿城,1999-10,棋王,13.00,作家出版社,8.7
[美] 罗伯特·麦基,天津人民出版社,故事,2014-9-1,周铁东,9.2
三毛,2007-7,雨季不再来,28.00元,北京十月文艺出版社,8.7
汪曾祺,1987-10,受戒,3.95元,漓江出版社,9.2
[美] 路易斯·贾内梯,世界图书出版公司,认识电影,2007-11,焦雄屏,8.9
曹禺,1999-05,雷雨,9.20,人民文学出版社,8.6
[美] G. 伽莫夫,科学出版社,从一到无穷大,2002-11,暴永宁 译,9.1
[古希腊] 柏拉图,商务印书馆,理想国,1986-8,郭斌和,8.7
[明] 施耐庵,1997-1,水浒传（全二册）,50.60元,人民文学出版社,8.6
[美] Paul Graham,人民邮电出版社,黑客与画家,2011-4,阮一峰,8.7
[美] 安迪·威尔,译林出版社,火星救援,2015-10,陈灼,8.9
齐邦媛,2010-10,巨流河,39.00元,生活·读书·新知三联书店,8.7
都梁,2005-3,亮剑,28.00元,解放军文艺出版社,8.9
吴晓波,2008-7-1,激荡三十年,32.00元,中信出版社,8.6
米兰·昆德拉,上海译文出版社,不能承受的生命之轻,2010-8,许钧,8.8
王小波,2009-1,绿毛水怪,30.00元,时代文艺出版社,9.0
[英] 道格拉斯·亚当斯,四川科学技术出版社,银河系漫游指南,2005-6,徐百柯,8.8
张爱玲,2006-12,半生缘,28.00元,北京十月文艺出版社,8.6
[美] 欧·亨利,上海社会科学院出版社,麦琪的礼物,2003-7,张经浩,8.6
[美] 欧文·斯通,北京十月文艺出版社,渴望生活,2008-4,常涛,9.2
[美] 贾雷德·戴蒙德,上海世纪出版集团,枪炮、病菌与钢铁,2006-4-1,谢延光,8.8
(英)W.萨默塞特·毛姆,重庆,面纱,2012-05-01,阮景林,8.7
李娟,2010-7-1,我的阿勒泰,22.00元,云南人民出版社,8.8
吴楚材,1987-1-1,古文观止,21.00元,中华书局,9.1
刘瑜,2009-6,民主的细节,25.00,上海三联书店,8.6
三毛,2007-5,温柔的夜,28.00元,北京十月文艺出版社,9.1
[英] 阿加莎·克里斯蒂,人民文学出版社,尼罗河上的惨案,2006-5,宫英海,8.7
[英] 吉米·哈利,中国城市出版社,万物有灵且美,2010-1,种衍伦,8.8
李娟,2010-6,阿勒泰的角落,25.00元,万卷出版公司,9.1
林达,2004-08,总统是靠不住的,21.80,生活·读书·新知三联书店,8.8
[意] 埃莱娜·费兰特,人民文学出版社,离开的，留下的,2017-10,陈英,8.7
八月长安,2013-8-5,最好的我们,55,湖南文艺出版社,8.7
[澳] 考琳·麦卡洛,译林出版社,荆棘鸟,1998-7,曾胡,8.6
[德] 赫尔曼·黑塞,上海人民出版社,德米安,2009-3,丁君君,9.0
(美) 斯塔夫里阿诺斯,北京大学出版社,全球通史,2012-2-1,吴象婴,9.1
茅海建,2005-7,天朝的崩溃,32.00元,生活·读书·新知三联书店,9.1
[日]芥川龙之介,上海译文出版社,罗生门,2008-7,林少华,8.7
錢穆,2013-8,國史大綱（上下）,76.00元,商務印書館,9.3
[德] 阿图尔·叔本华,上海人民出版社,人生的智慧,2008-10,韦启昌,9.2
[美] 沃尔特·艾萨克森,中信出版社,史蒂夫·乔布斯传,2011-10-24,管延圻,8.7
李泽厚,2009-1-1,美的历程,43.00元,生活·读书·新知三联书店,9.2
[美] 艾·弗洛姆,上海译文出版社,爱的艺术,2008-4,李健鸣,8.8
[美] 塔拉·韦斯特弗,南海出版公司,你当像鸟飞往你的山,2019-10-20,任爱红,9.0
林达,2004-08,我也有一个梦想,25.00元,生活·读书·新知三联书店,9.0
[挪] 乔斯坦·贾德,作家出版社,苏菲的世界,2007-10,萧宝森,8.8
刘瑜,2010-1,送你一颗子弹,25.00元,上海三联书店,8.6
鲁迅,1973年3月,彷徨,0.37元,人民文学出版社,8.9
（清）沈复,1999-1,浮生六记,5.70元,人民文学出版社,8.8
江南,2015-10,九州·缥缈录,198.00元,人民文学出版社,8.9
龙应台,2008-12,亲爱的安德烈,26.00,人民文学出版社,8.6
三毛,2003-08,万水千山走遍,13.80,哈尔滨出版社,8.8
龙应台,2009-10,目送,39.00元,生活·读书·新知三联书店,8.6
鲁迅,1973-3,野草,0.20元,人民文学出版社,9.3
龙应台,2005-8,野火集,25.00元,文汇出版社,8.8
[日] 岩井俊二,天津人民出版社,情书,2004-7,穆晓芳,8.6
[奥] 斯蒂芬·茨威格,广西师范大学出版社,昨日的世界,2004-5-1,舒昌善,9.2
刘慈欣,2005-6,球状闪电,22.00元,四川科学技术出版社,8.7
[美] 曼昆,机械工业出版社,经济学原理（上下）,2003-8,梁小民,9.1
(法)阿尔贝·加缪,上海译文出版社,鼠疫,2013-8,刘方,9.1
张爱玲,2006-12,倾城之恋,29.80元,北京十月文艺出版社,8.7
白先勇,2010.10,孽子,46.00元,广西师范大学出版社,9.1
[日] 东野圭吾,南海出版公司,解忧杂货店,2014-5,李盈春,8.5
[德] 赫尔曼·黑塞,上海人民出版社,悉达多,2009-3,杨玉功 译,9.0
黄元吉,1996-10,道德经精义,4.50元,陕西人民出版社,9.4
[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,一个叫欧维的男人决定去死,2015-12,宁蒙,9.0
[美]马里奥·普佐,译林出版社,教父,1997-8,周汉林,9.0
[意大利]伊塔洛·卡尔维诺,译林出版社,看不见的城市,2006-8,张宓,8.8
萧红,2005-01,呼兰河传,19.00,百花文艺出版社,8.9
海子,1999-04,海子的诗,15.40,人民文学出版社,8.9
[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,最好的告别,2015-7-31,彭小华,9.0
金庸,2008-3,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.8
三毛,2007-6,梦里花落知多少,28.00元,北京十月文艺出版社,8.8
[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,飞鸟集,2004-6,徐翰林,8.9
[美] 约翰·威廉斯,上海人民出版社,斯通纳,2016-1,杨向荣,8.8
[英] 毛姆,上海译文出版社,人生的枷锁,2007-3,张柏然,9.0
鲁迅,1972年4月,朝花夕拾,0.25元,人民文学出版社,8.8
蘅塘退士,1998-1-1,唐诗三百首,0.65,中华书局,9.3
沈从文,2002-4,边城,12.00元,北岳文艺出版社,8.7
[英] 阿加莎·克里斯蒂,人民文学出版社,罗杰疑案,2006-5,张江云,8.9
[日] 伊坂幸太郎,译林出版社,金色梦乡,2010-9,李彦桦,9.0
[英] 史蒂芬·霍金,湖南科学技术出版社,时间简史,2010-4,许明贤,8.8
[奥] 斯台芬·茨威格,上海译文出版社,一个陌生女人的来信,2007-7,张玉书,8.7
[英] 王尔德,译林出版社,王尔德童话,2003-6,王林,9.1
严歌苓,2011-10,陆犯焉识,35.00元,作家出版社,8.8
[美] 孔飞力,生活·读书·新知三联书店 上海三联书店,叫魂,2012-5,陈兼,9.0
李娟,2012-6,冬牧场,29.80元,新星出版社,9.0
龙应台,2009-12-1,孩子你慢慢来,28.00元,生活·读书·新知三联书店,8.8
木心 讲述,2013-1-10,文学回忆录（全2册）,98.00元,广西师范大学出版社,9.2
金庸,生活·读书·新知三联书店,神雕侠侣,1994-5,有1996年11月北平第4次印本,8.9
曹天元,2006-1,上帝掷骰子吗,32.00元,辽宁教育出版社,9.2
司马迁,中华书局,史记（全十册）,1982-11,（索引）司马贞，（正义）张守节,9.5
[法] 雨果,人民文学出版社,悲惨世界（上中下）,1992-6,李丹,9.0
柴静,2013-1-1,看见,39.80元,广西师范大学出版社,8.8
余华,1998-9,许三观卖血记,16.80元,南海出版公司,8.8
三毛,2003-6,哭泣的骆驼,15.80元,哈尔滨出版社,8.9
吴军,2011-8,浪潮之巅,55.00元,电子工业出版社,9.0
[英] 贡布里希 (Sir E.H.Gombrich),广西美术出版社,艺术的故事,2008-04,范景中,9.6
[美] 卡勒德·胡赛尼,上海人民出版社,灿烂千阳,2007-9,李继宏,8.8
陈忠实,2012-9,白鹿原,39.00元,人民文学出版社,9.2
[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,卡拉马佐夫兄弟,2006-8,荣如德,9.4
[意大利]伊塔洛·卡尔维诺,译林出版社,树上的男爵,2012-4-1,吴正仪,9.1
王小波,2008-5,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
[美] 傅高义,生活·读书·新知三联书店,邓小平时代,2013-1,冯克利,9.1
[日] 黑柳彻子 著,南海出版公司,窗边的小豆豆,2003-1,赵玉皎,8.7
王国维,1998-12-01,人间词话,9.80元,上海古籍出版社,9.0
[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,永恒的终结,2014-9-1,崔正男,9.0
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
白先勇,2010-10,台北人,38.00元,广西师范大学出版社,8.9
吴念真,2011-9,这些人，那些事,28.00元,译林出版社,8.8
[英] 肯·福莱特,江苏凤凰文艺出版社,巨人的陨落,2016-5-1,于大卫,8.9
孔丘 编订,2006-7,诗经,19.90元,北京出版社,9.4
吴承恩,人民文学出版社,西游记（全二册）,2004-8,黄肃秋 注释,8.9
